,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Bradyrhizobium sp. 186,0,0,335,44,20,20,34,207,64,49,266,15,34,630,44,25,10,10,128,39,231,5,69,20,79,39,74,54,123,74,20,98,143,113,15,5,15,54,177
Conexibacter sp. SYSU D00693,69,384,187,148,34,335,34,49,143,374,74,89,123,54,507,212,576,276,197,39,59,25,59,30,25,25,15,103,25,54,25,30,10,5,25,89,212,158,44
Bacillus mycoides,0,108,30,315,54,39,98,108,167,108,34,177,177,34,15,84,89,10,113,123,44,286,25,281,138,108,118,98,241,89,54,94,69,266,207,374,266,49,0
Paraburkholderia phytofirmans,25,10,10,0,0,10,0,15,20,0,15,0,5,15,5,10,0,10,0,15,10,10,5,5,98,20,20,20,59,44,30,15,30,20,10,0,5,10,15
Bradyrhizobium paxllaeri,0,39,192,30,0,44,15,138,118,103,236,5,39,251,320,49,25,20,113,39,113,30,98,20,69,34,69,54,118,89,64,108,113,84,20,0,10,30,172
Bradyrhizobium icense,0,39,217,44,54,30,0,182,123,69,177,10,59,236,187,34,30,10,89,69,197,20,74,30,49,34,74,44,138,79,54,98,123,64,39,0,5,34,123
Sphingomonas sediminicola,0,10,10,10,20,15,15,10,25,655,74,950,222,113,44,94,103,20,74,10,10,0,5,5,39,0,0,15,20,10,15,5,10,5,1684,0,0,5,20
Bradyrhizobium sp. CCBAU 51753,0,10,133,20,20,30,15,59,49,64,236,20,49,305,84,84,39,10,133,84,217,25,94,34,108,59,143,89,222,118,94,167,162,143,34,15,10,64,128
Candidatus Koribacter versatilis,0,0,20,10,20,15,0,59,34,10,59,0,54,79,10,59,44,0,39,492,217,64,74,49,212,153,256,128,177,310,310,207,433,118,5,25,20,123,217
Pedococcus dokdonensis,0,25,10,5,34,20,49,15,5,271,0,3289,54,20,44,34,10,25,128,10,0,25,15,5,5,15,5,15,5,5,20,15,10,5,20,10,39,25,5
Paraconexibacter antarcticus,25,409,143,103,69,320,34,39,182,202,79,74,202,69,320,187,266,276,182,59,25,34,94,39,25,15,15,108,10,64,34,20,5,10,30,59,108,89,89
Rhodopseudomonas palustris,0,25,153,84,20,54,0,84,108,20,94,5,84,89,54,54,54,10,128,148,69,59,167,39,113,98,138,98,128,167,167,246,162,128,20,10,30,143,261
Bacillus wiedmannii,25,59,30,246,34,20,64,64,98,69,25,162,158,30,10,74,64,0,54,69,59,276,25,369,158,118,128,98,202,84,44,98,74,236,177,350,236,39,5
Luteitalea sp. TBR-22,0,74,192,113,34,148,0,374,384,49,177,30,94,39,227,89,310,54,39,162,10,108,49,79,25,34,30,20,20,39,79,54,49,25,15,0,59,74,350
Bradyrhizobium sp. CB1650,0,0,192,34,34,20,49,89,54,54,167,20,34,364,34,34,10,20,103,84,217,79,192,74,94,89,59,79,103,108,69,143,256,133,49,10,20,39,212
Nitrobacter winogradskyi,25,5,10,30,0,5,0,25,10,34,15,0,25,20,15,5,0,118,15,15,34,10,34,5,5,2846,492,10,25,20,30,54,20,34,10,5,0,20,39
Occallatibacter riparius,25,15,10,10,0,15,0,25,34,5,44,0,39,25,10,25,30,0,49,182,94,30,25,44,325,39,158,113,148,768,1029,197,212,74,5,10,20,54,69
Bradyrhizobium arachidis,0,15,138,39,20,15,49,89,69,98,128,39,34,384,49,39,15,10,172,123,148,25,79,34,89,39,94,74,138,113,84,133,143,172,64,10,20,44,236
Burkholderia sp. DHOD12,0,5,10,10,0,10,0,10,25,5,10,0,0,10,5,15,15,0,10,15,0,10,10,5,940,69,10,15,5,1576,153,148,158,59,5,0,10,20,39
Enterococcus faecalis,94,39,10,84,89,5,64,108,15,143,54,20,128,20,10,15,113,44,30,20,59,34,15,34,20,1640,148,10,39,15,15,103,20,25,84,25,25,15,20
Bradyrhizobium sp. 6(2017),0,5,153,34,20,5,0,98,54,34,217,5,20,222,25,49,5,0,217,30,128,10,79,10,64,34,89,44,69,64,39,69,98,69,20,10,5,30,94
Pseudolabrys taiwanensis,0,10,113,39,34,34,0,187,84,25,94,5,143,59,44,69,25,0,167,113,34,79,123,59,39,25,79,30,34,108,162,197,113,54,10,0,0,123,483
Paraburkholderia fungorum,0,5,15,5,20,5,0,10,10,5,25,0,20,10,15,0,0,10,0,10,0,5,10,5,108,15,10,15,39,34,20,15,10,25,0,15,0,10,10
Baekduia soli,44,276,113,69,0,300,0,39,59,192,59,64,118,59,261,123,281,187,94,64,34,30,59,5,15,30,20,84,10,34,30,15,10,0,10,49,143,94,54
Bradyrhizobium sp. WD16,0,30,133,54,0,34,15,84,39,54,103,10,54,103,54,30,39,10,79,84,162,25,118,15,69,59,94,69,98,103,64,148,103,69,34,10,10,79,89
Bradyrhizobium genosp. L,0,15,89,49,20,20,0,84,39,49,108,10,49,148,34,44,10,25,133,89,197,10,44,25,84,30,89,74,197,79,49,148,94,98,39,0,15,49,74
Conexibacter sp. S30A1,0,182,113,59,0,192,15,34,54,118,74,20,64,49,202,94,182,123,133,54,94,39,59,5,84,44,15,162,25,123,20,69,20,15,5,89,128,197,49
Nocardioides baekrokdamisoli,0,5,0,5,0,10,15,25,10,25,507,69,94,103,15,1270,0,20,15,15,0,59,10,133,5,5,5,20,5,34,5,10,15,5,384,5,5,10,39
Paraburkholderia aromaticivorans,0,0,10,5,20,20,15,15,5,10,20,0,0,20,10,10,10,10,25,25,0,10,15,10,54,20,15,15,54,39,25,30,49,20,0,0,0,15,30
Delftia acidovorans,0,5,5,0,0,5,0,0,10,0,5,0,0,0,5,0,0,0,10,15,0,5,10,0,5,5,10,5,0,10,5,5,5,0,10,0,0,10,15
Bradyrhizobium japonicum,0,10,128,39,34,15,0,98,64,20,138,34,49,197,74,44,15,0,94,34,69,0,84,10,59,34,44,39,64,94,49,94,103,74,25,0,5,25,172
Bacillus sp. ABP14,0,39,25,153,0,30,98,34,54,10,25,133,108,20,5,49,15,0,54,59,0,197,25,241,148,74,64,74,138,69,30,94,30,74,167,281,202,15,0
Arthrobacter sp. FW306-2-2C-D06B,0,5,0,0,0,15,0,0,5,5,5,5,10,980,0,162,5,0,182,0,10,640,10,748,0,15,0,10,0,5,10,0,5,10,0,5,10,0,5
Bradyrhizobium sp. BTAi1,25,15,74,30,0,10,0,59,59,34,108,10,54,138,20,30,15,0,118,89,79,30,49,20,98,39,79,94,162,94,59,94,84,94,30,20,20,59,113
Paenibacillus lentus,0,133,5,512,0,59,34,0,10,167,0,305,39,10,15,39,74,0,10,30,79,84,44,182,84,84,172,20,44,20,10,44,5,10,251,148,89,20,0
Paraburkholderia ginsengisoli,0,5,5,0,0,5,0,15,0,0,15,0,0,5,5,5,0,0,0,10,0,10,5,0,30,10,5,5,25,15,15,15,20,0,0,5,10,5,15
Bacillus anthracis,0,25,10,153,0,20,113,34,59,49,25,113,118,10,20,49,74,10,25,34,25,167,39,246,103,64,74,64,123,54,30,84,30,133,138,197,197,30,0
Nocardioides cynanchi,25,30,64,20,20,84,34,0,20,89,25,384,108,94,44,680,25,25,522,15,25,10,39,20,5,25,30,20,5,25,15,30,25,25,30,5,34,30,34
Ramlibacter tataouinensis,0,44,30,64,0,39,15,172,98,39,30,44,20,34,74,39,670,69,15,39,0,25,30,20,25,15,15,30,10,25,39,30,34,20,566,30,15,34,103
Lysobacter terrestris,0,5,10,236,0,25,15,10,10,15,15,0,69,15,20,15,74,0,10,15,0,5,5,10,5,5,5,0,5,5,5,5,10,5,2009,0,10,5,5
Conexibacter sp. DBS9H8,0,177,89,49,20,153,15,15,79,128,54,34,79,44,148,94,153,153,133,34,69,10,39,15,20,15,20,153,20,79,34,30,10,15,5,113,118,182,39
Enterococcus lactis,305,34,30,84,158,54,177,64,44,54,49,49,74,15,30,34,69,64,89,49,103,89,34,98,39,49,34,34,59,34,20,44,25,59,54,138,69,39,25
Thermoleophilum album,0,276,89,54,34,310,0,39,113,172,113,25,84,49,192,89,113,64,143,59,25,30,54,25,15,20,10,64,5,20,20,5,5,10,5,34,108,69,54
Gemmatirosa kalamazoonensis,0,25,128,64,20,44,49,138,241,44,69,103,59,34,94,54,103,20,153,123,10,69,64,69,30,98,15,30,20,30,30,44,54,15,20,20,74,64,89
Pseudonocardia sp. DSM 110487,44,192,44,10,158,192,98,49,44,103,25,20,20,10,98,64,54,231,128,44,69,39,79,25,20,54,64,59,20,30,103,20,44,34,10,20,89,128,30
Bradyrhizobium sp. CCBAU 53421,0,10,54,39,0,5,15,64,20,39,103,10,44,108,54,79,39,10,128,39,138,0,44,20,79,39,69,34,162,64,25,118,89,89,30,10,10,25,103
Variovorax paradoxus,0,25,25,54,34,59,0,123,98,15,84,30,49,49,84,49,295,89,39,64,25,64,64,39,44,49,30,59,25,44,54,69,69,44,128,30,44,59,123
Bradyrhizobium sp. A19,0,5,89,20,0,15,0,34,34,34,103,5,20,133,34,20,15,0,49,69,182,5,49,25,59,34,89,84,143,84,49,113,64,118,20,10,5,34,94
Nocardioides ungokensis,25,64,20,15,69,74,49,10,39,128,15,798,44,79,123,158,25,25,172,59,0,20,54,44,10,20,15,20,10,20,39,25,30,25,20,25,54,44,39
Ktedonosporobacter rubrisoli,0,5,15,0,0,0,0,0,10,5,10,0,5,10,5,0,5,0,10,0,59,54,64,34,315,202,49,443,69,103,369,30,74,256,0,94,0,182,5
Bradyrhizobium sp. ORS 278,0,10,69,15,0,15,0,64,30,5,84,5,39,128,39,25,10,0,49,49,148,20,54,10,69,39,89,79,148,89,64,108,108,103,30,5,10,44,94
Sphingomonas lutea,0,5,5,10,0,39,0,10,30,172,98,182,128,172,49,172,64,20,222,10,0,5,0,15,79,5,10,10,20,0,5,10,0,0,438,0,0,5,15
Miltoncostaea marina,0,128,118,20,54,202,15,59,123,69,108,20,128,74,118,118,79,79,143,69,34,10,113,20,15,30,10,30,5,10,15,15,10,10,15,5,64,34,98
Nocardioides panacis,0,64,20,39,89,98,34,25,54,172,25,335,59,108,192,94,34,79,79,30,10,30,49,39,15,20,30,30,10,30,34,15,25,34,39,25,89,44,30
Miltoncostaea oceani,25,84,113,15,34,158,49,49,74,59,64,25,94,44,123,108,30,69,231,64,94,39,54,10,10,20,5,20,10,0,39,15,15,5,15,5,153,49,69
Bradyrhizobium sp. ORS 285,0,10,64,20,0,20,0,59,20,20,94,5,20,89,25,25,10,0,25,39,128,30,44,20,64,34,69,64,162,94,30,103,89,49,30,5,10,54,54
Nonomuraea phyllanthi,44,84,34,15,192,69,64,15,34,54,69,25,25,20,64,44,30,177,30,54,25,34,89,25,20,64,69,74,39,54,74,30,34,74,10,39,64,98,49
Streptomyces venezuelae,0,103,30,44,89,113,64,15,64,59,34,30,20,20,89,59,25,89,54,44,0,10,94,30,49,74,79,74,15,54,94,39,54,49,5,59,59,113,20
Bradyrhizobium barranii,0,0,133,15,0,10,0,74,25,15,177,15,15,167,25,20,5,0,74,34,59,20,74,30,34,20,25,34,34,39,39,44,79,49,10,5,0,25,113
Stenotrophomonas maltophilia,25,64,15,39,20,25,49,39,30,123,74,5,217,49,25,25,79,207,10,30,79,25,20,20,30,143,39,30,15,30,34,54,44,30,182,0,5,25,25
Thermomonospora amylolytica,25,69,10,15,54,25,49,34,25,49,39,5,10,10,64,20,30,98,30,59,59,25,148,10,25,59,98,98,39,59,118,64,69,94,5,44,25,192,69
Bradyrhizobium sp. CIAT3101,0,0,74,0,0,10,0,74,5,25,74,15,34,148,20,20,25,10,89,20,79,25,34,15,44,34,59,30,103,59,15,69,84,64,20,5,15,20,59
Massilia sp. WG5,0,0,20,5,0,0,0,15,30,20,5,5,15,113,15,20,5,20,15,20,10,10,15,10,5,5,5,5,5,5,20,5,20,15,1522,10,5,10,15
Catenulispora acidiphila,0,54,15,5,89,59,34,10,10,10,34,20,25,25,34,49,10,64,64,39,34,25,69,5,217,54,108,128,34,49,59,54,49,64,15,44,44,227,30
Usitatibacter rugosus,0,20,25,113,0,34,15,236,98,10,172,15,25,20,79,143,197,10,25,49,25,20,25,10,10,0,5,15,10,10,20,10,10,20,39,0,20,20,59
Bacillus albus,0,20,10,143,0,5,113,25,34,39,10,79,34,5,15,34,39,10,64,39,25,123,25,162,84,44,39,54,89,20,15,54,15,108,94,128,148,15,0
Paraburkholderia pallida,0,5,5,5,20,15,0,10,20,0,5,0,10,10,20,15,25,10,15,10,25,5,15,5,15,5,5,5,10,1374,20,20,10,54,0,0,0,5,15
Edaphobacter lichenicola,0,10,10,0,0,10,15,10,15,0,25,0,0,20,0,10,5,0,25,94,113,5,25,10,74,34,64,25,69,128,113,98,103,25,0,0,0,30,39
Bradyrhizobium septentrionale,0,5,79,20,0,5,0,49,39,34,94,5,20,98,30,34,10,10,236,20,25,5,44,20,49,10,25,30,98,49,49,44,39,34,15,15,5,20,64
Rhizobium leguminosarum,0,34,34,10,20,39,0,113,59,15,74,5,54,39,39,25,15,34,30,39,10,25,69,15,74,25,30,54,69,79,64,64,84,34,5,34,20,39,118
Enterococcus durans,212,44,44,49,69,30,143,34,34,34,34,25,64,15,15,15,64,89,25,59,79,64,39,34,25,30,15,25,54,30,30,25,15,34,25,89,59,20,15
Pseudolabrys sp. FHR47,0,15,74,30,0,34,0,64,49,34,39,10,133,25,30,30,25,20,54,89,44,20,59,39,25,15,39,20,20,54,79,94,64,25,5,5,0,49,202
Nocardioides sp. JS614,25,49,10,15,0,79,15,0,10,143,10,606,44,89,69,94,39,34,128,5,0,30,39,25,5,5,15,20,5,15,20,20,5,5,25,5,69,30,39
Paludibaculum fermentans,0,0,34,20,0,34,0,59,59,5,25,5,25,25,25,20,25,25,0,148,94,30,15,20,49,59,59,30,39,103,148,69,222,49,5,10,15,49,79
Arthrobacter sp. YA7-1,25,0,5,0,20,5,0,0,0,0,0,15,5,512,5,128,0,0,128,10,10,458,0,443,5,20,5,5,0,5,0,5,0,0,5,10,10,5,5
Acidobacterium capsulatum,0,10,25,5,0,5,0,59,39,15,25,0,25,20,10,10,10,10,30,222,59,30,20,5,113,44,94,44,54,153,222,84,98,25,5,15,20,44,64
Bradyrhizobium oligotrophicum,0,0,34,15,20,15,15,10,30,5,54,0,39,98,25,15,0,20,39,64,103,25,34,15,44,34,69,34,98,74,34,84,74,79,20,15,5,44,59
Dactylosporangium aurantiacum,0,143,34,15,69,74,64,64,54,64,25,25,34,15,54,59,15,108,30,39,10,10,94,20,25,64,44,49,15,30,54,49,39,54,20,34,64,74,39
Sphingomonas daechungensis,0,5,5,5,0,25,15,15,15,320,54,98,108,113,44,89,162,0,89,15,0,0,5,5,34,0,0,5,5,0,10,15,0,5,364,10,5,5,25
Acidisarcina polymorpha,0,5,30,0,20,10,0,34,25,5,20,0,25,34,10,10,10,0,30,108,103,30,25,30,94,59,74,54,69,153,128,79,187,25,5,5,5,64,39
Anaeromyxobacter oryzae,44,34,34,44,34,69,0,84,84,20,69,10,20,39,59,39,34,20,54,59,34,54,79,49,30,39,10,15,20,34,59,30,74,54,10,20,44,54,118
Bacillus luti,0,25,10,123,20,5,64,49,30,20,5,64,74,15,10,34,25,0,54,54,0,113,10,113,34,34,30,49,69,39,39,44,30,54,64,128,113,20,0
Ralstonia pickettii,0,49,25,98,0,30,0,98,59,89,384,5,69,49,25,5,79,44,10,74,25,20,34,69,39,34,34,10,34,20,15,20,10,5,25,10,5,44,25
Terriglobus albidus,0,0,15,5,0,15,0,34,34,0,34,0,10,25,20,10,0,0,30,103,128,0,20,5,89,34,84,39,79,177,143,74,153,34,0,0,5,39,39
Bradyrhizobium quebecense,0,10,49,15,0,10,0,15,34,20,89,10,15,98,20,74,0,0,74,44,79,0,39,5,54,39,44,20,79,64,20,54,69,74,15,20,5,20,49
Mycolicibacterium phocaicum,0,10,49,5,0,10,15,0,5,5,10,5,5,5,15,1290,5,20,10,10,10,20,0,20,5,5,10,25,5,5,15,0,5,15,0,0,5,10,10
Actinomadura verrucosospora,0,74,30,0,123,49,34,25,25,5,44,15,10,25,49,54,25,133,10,39,10,5,59,20,34,34,74,84,39,39,79,30,54,89,15,49,39,94,44
Dyella japonica,0,10,10,0,20,5,0,0,5,0,5,0,5,10,5,5,0,0,10,5,0,0,10,0,34,20,10,5,10,15,15,15,39,10,15,0,10,15,10
Bradyrhizobium sp. CCBAU 53340,0,10,49,15,0,15,0,34,10,10,44,15,25,118,30,20,5,0,113,64,59,10,34,20,44,15,69,39,98,54,20,69,74,59,34,0,0,34,54
Tetrasphaera sp. HKS02,0,25,20,5,20,49,0,0,34,98,25,443,10,246,20,20,5,10,468,0,0,25,25,25,5,5,10,10,0,5,5,5,5,5,20,10,15,20,5
Actinomadura madurae,25,49,15,15,138,59,15,15,44,30,39,15,34,20,64,39,25,123,49,20,0,34,59,25,15,44,69,64,10,30,74,30,34,64,10,30,54,108,25
Pseudofrankia inefficax,25,113,30,20,54,69,34,34,44,59,74,25,20,34,59,39,15,25,25,39,10,54,74,30,25,49,49,54,25,39,59,44,34,44,20,20,20,79,34
Mycolicibacterium aubagnense,0,10,39,5,0,5,0,0,5,5,20,0,20,0,5,1325,0,10,10,10,0,5,10,5,5,5,5,20,10,0,0,10,5,5,5,10,10,0,5
Nocardioides sp. LMS-CY,0,34,25,15,89,69,0,15,20,113,25,448,25,98,69,113,5,20,54,25,10,20,25,15,15,20,10,20,5,34,15,15,10,20,25,10,54,25,25
Enterococcus sp. ZQ21,94,25,20,123,20,39,64,0,5,30,15,59,69,10,5,34,49,25,15,15,25,54,44,103,49,34,44,30,44,34,15,44,15,34,79,118,94,30,10
Nonomuraea gerenzanensis,0,74,25,39,34,94,34,0,10,49,34,0,10,15,49,30,15,108,30,39,34,39,108,30,15,49,49,69,20,44,74,54,30,49,10,39,34,113,30
Nocardia asteroides,0,84,34,15,69,69,15,64,30,34,30,25,39,20,79,59,15,44,30,34,10,34,54,39,34,54,59,59,34,30,39,30,44,34,5,20,54,69,39
Bradyrhizobium sp. 41S5,0,10,49,30,0,10,0,25,20,15,84,10,15,84,34,30,5,10,74,39,44,10,59,5,59,10,44,34,89,44,15,74,34,64,25,5,0,20,39
Nonomuraea sp. ATCC 55076,25,69,10,10,69,69,64,10,20,49,30,10,10,25,64,39,15,69,64,79,0,30,79,34,30,39,39,59,39,34,69,34,34,64,10,30,54,49,49
Bradyrhizobium sp. 1(2017),0,5,49,0,0,5,15,59,10,0,74,25,20,84,64,20,25,0,89,44,25,5,39,15,34,15,44,20,74,49,39,79,49,30,25,0,10,30,74
Nocardioides anomalus,0,49,44,5,54,74,49,0,15,143,34,359,54,64,74,84,5,10,79,15,10,30,34,25,5,5,25,15,15,20,15,10,10,15,34,10,39,30,25
Pimelobacter simplex,0,54,25,15,20,94,34,34,49,49,39,231,34,59,69,94,34,64,89,15,25,5,30,25,15,34,30,30,15,20,30,15,20,5,30,15,54,54,15
Nocardioides sp. W7,0,69,44,20,34,113,15,10,54,103,25,419,49,79,64,94,10,25,74,10,10,0,30,10,10,15,20,10,5,15,30,10,5,5,30,25,15,15,10
Bradyrhizobium sp. CB2312,0,0,94,20,0,5,0,34,25,20,54,5,10,138,25,20,5,20,30,30,34,30,59,20,44,25,34,39,79,34,25,30,34,59,20,0,0,20,123
Bradyrhizobium sp. 195,0,10,69,10,0,10,15,64,15,15,49,30,25,113,25,15,15,20,49,30,69,10,49,10,34,15,25,30,79,44,30,54,44,20,25,0,0,15,49
Bradyrhizobium genosp. B,0,0,49,15,0,5,0,15,10,15,30,10,0,148,10,15,15,0,54,44,94,5,54,10,39,15,59,30,94,64,20,54,74,79,10,5,5,20,49
Dyella telluris,0,0,0,0,0,0,0,0,0,0,10,0,0,15,5,5,0,0,10,10,10,0,5,5,20,15,10,5,5,15,5,30,15,5,5,0,0,10,10
Usitatibacter palustris,0,10,25,39,34,34,15,113,98,5,118,20,10,20,54,94,138,34,30,59,0,5,25,20,10,5,5,10,5,10,15,10,10,10,54,0,0,5,84
Afipia sp. GAS231,0,0,59,5,0,5,0,84,15,0,94,0,15,89,10,15,10,0,10,30,25,0,39,10,20,15,25,20,25,39,25,54,44,44,0,0,0,10,39
Bacillus toyonensis,0,10,25,143,20,5,34,34,39,0,0,54,54,10,5,34,10,0,49,39,10,108,10,108,74,44,44,34,69,39,15,39,15,64,64,98,69,15,0
Nocardioides mesophilus,0,69,10,5,103,59,0,10,30,108,10,246,54,98,103,69,25,20,79,25,0,5,54,5,15,15,20,30,10,20,15,30,10,15,25,5,34,25,34
Streptosporangium roseum,25,123,10,5,54,59,64,25,20,20,25,15,0,10,44,39,10,123,30,59,25,20,54,20,20,39,74,74,20,34,54,34,34,30,0,15,30,84,39
Kutzneria sp. CA-103260,25,54,25,5,69,44,15,10,39,20,15,10,5,20,54,25,15,118,49,44,34,30,59,15,34,59,59,113,20,39,54,30,30,49,0,20,59,69,34
Amycolatopsis acidiphila,25,49,34,34,138,39,49,15,30,25,15,25,15,25,39,30,30,98,30,30,10,20,54,5,20,54,59,54,30,39,54,39,44,54,5,20,20,59,39
